Compound_Name,smiles,N𝛿–,InChIKey
alln_270,NC1CCCCCCC1,-0.82677,HSOHBWMXECKEKV-UHFFFAOYSA-N
alln_271,CC(C)CC[C@H](C)N,-0.82586,IZCBXLKODYZSDJ-ZETCQYMHSA-N
alln_273,C[C@H](N)C#N,-0.79847,UAMZETBJZRERCQ-VKHMYHEASA-N
alln_274,N#CC(=S)N,-0.72492,TYTIZKNBXNGILL-UHFFFAOYSA-N
alln_275,CC#CCN,-0.80271,YLBIBZCIFHPPKA-UHFFFAOYSA-N
alln_277,CC(C)(N)C#N,-0.80361,JQULXIOYDDCNGR-UHFFFAOYSA-N
alln_278,C[C@@H](N)C#N,-0.79847,UAMZETBJZRERCQ-GSVOUGTGSA-N
alln_279,NCCS,-0.81353,UFULAYFCSOUIOV-UHFFFAOYSA-N
alln_28,CC(=O)c1nc(N)sc1C,-0.79929,WKWHVCYMDPRLLR-UHFFFAOYSA-N
alln_280,CC(C)[C@@H](C)N,-0.82896,JOZZAIIGWFLONA-RXMQYKEDSA-N
alln_281,C[C@@H](N)C1CC1,-0.82033,IXCXVGWKYIDNOS-SCSAIBSYSA-N
alln_282,C[C@H](N)C1CC1,-0.8203,IXCXVGWKYIDNOS-BYPYZUCNSA-N
alln_283,NC(=S)S,-0.7751,DKVNPHBNOWQYFE-UHFFFAOYSA-N
alln_284,C[C@H]1C[C@H]1N,-0.81985,PYTANBUURZFYHD-IUYQGCFVSA-N
alln_285,N[C@H]1CCSC1,-0.82652,GBNRIMMKLMTDLW-BYPYZUCNSA-N
alln_286,N[C@@H]1CCSC1,-0.82652,GBNRIMMKLMTDLW-SCSAIBSYSA-N
alln_287,NCc1cscn1,-0.80846,YFEQTUUFQKDATK-UHFFFAOYSA-N
alln_288,C/C=C/CN,-0.81283,not_found
alln_289,N[C@H]1CCCCC1=O,-0.81059,KMLPEYHLAKSCGX-YFKPBYRVSA-N
alln_29,CCOC(=O)c1cccnc1N,-0.77295,KIAGEDYOPMHRRB-UHFFFAOYSA-N
alln_290,C[C@@H]1C[C@@H]1N,-0.81983,PYTANBUURZFYHD-DMTCNVIQSA-N
alln_291,C[C@@H](N)c1ccco1,-0.8105,JYXGCMLOKDKUAX-RXMQYKEDSA-N
alln_292,NC1=NCCS1,-0.8055,REGFWZVTTFGQOJ-UHFFFAOYSA-N
alln_293,C[C@H](N)c1ccco1,-0.8105,JYXGCMLOKDKUAX-YFKPBYRVSA-N
alln_294,C[C@H]1C[C@@H]1N,-0.81336,PYTANBUURZFYHD-IMJSIDKUSA-N
alln_295,NCC1CCC1,-0.81952,LQNHRNOPWKZUSN-UHFFFAOYSA-N
alln_296,CCSC(=S)N,-0.77288,PBRXDWOPIKZYOJ-UHFFFAOYSA-N
alln_297,N[C@@H]1CCCCC1=O,-0.81059,KMLPEYHLAKSCGX-RXMQYKEDSA-N
alln_298,CC(C)[C@H](C)N,-0.82896,JOZZAIIGWFLONA-YFKPBYRVSA-N
alln_299,NCc1ccsc1,-0.80951,DUDAKCCDHRNMDJ-UHFFFAOYSA-N
alln_3,C#CCOc1cccc(N)c1,-0.78919,VRRJGXBLWHBYTG-UHFFFAOYSA-N
alln_30,CC(=O)c1sc(N)nc1C,-0.78381,PKUKCASRNJIQNU-UHFFFAOYSA-N
alln_300,C[C@@H]1C[C@H]1N,-0.81336,PYTANBUURZFYHD-QWWZWVQMSA-N
alln_301,CCC[C@@H](C)CN,-0.82265,WNDXRJBYZOSNQO-ZCFIWIBFSA-N
alln_302,CCC[C@H](C)CN,-0.82313,WNDXRJBYZOSNQO-LURJTMIESA-N
alln_303,CC(C)[C@@H](N)C#N,-0.80116,ZMMPZEFSSVTIIW-YFKPBYRVSA-N
alln_304,C[C@@H](C#N)CN,-0.81819,GDIMNXJSMJSDSB-SCSAIBSYSA-N
alln_305,C[C@H](C#N)CN,-0.81819,GDIMNXJSMJSDSB-BYPYZUCNSA-N
alln_306,CC(C)[C@H](N)C#N,-0.80116,ZMMPZEFSSVTIIW-RXMQYKEDSA-N
alln_308,CC(=O)/C=C(/C)\N,-0.77022,not_found
alln_309,C=CCOC(=S)N,-0.78178,QAJGLUWFOPZGOC-UHFFFAOYSA-N
alln_31,Cc1cc(Cl)nc(N)n1,-0.77563,NPTGVVKPLWFPPX-UHFFFAOYSA-N
alln_310,C=C(C)CN,-0.81648,VXDHQYLFEYUMFY-UHFFFAOYSA-N
alln_311,CCCCCCCCN,-0.81897,IOQPZZOEVPZRBK-UHFFFAOYSA-N
alln_312,CC(=O)/C=C(\C)/N,-0.77549,not_found
alln_313,N#Cc1cccc(CN)c1,-0.80545,XFKPORAVEUOIRF-UHFFFAOYSA-N
alln_316,CCC(C)(C)N,-0.83042,GELMWIVBBPAMIO-UHFFFAOYSA-N
alln_317,C[C@@H](N)c1cccnc1,-0.81954,IQVQNBXPYJGNEA-ZCFIWIBFSA-N
alln_318,C[C@@H](N)c1ccncc1,-0.82573,HIZMJYQEHFJWQY-ZCFIWIBFSA-N
alln_319,C[C@H](N)c1cccnc1,-0.82351,IQVQNBXPYJGNEA-LURJTMIESA-N
alln_320,C[C@H](N)c1ccncc1,-0.82572,HIZMJYQEHFJWQY-LURJTMIESA-N
alln_321,C[C@@H](N)c1ccccn1,-0.81405,PDNHLCRMUIGNBV-ZCFIWIBFSA-N
alln_322,CCC[C@H](C)N,-0.82855,IGEIPFLJVCPEKU-YFKPBYRVSA-N
alln_323,C[C@H](N)c1ccccn1,-0.81544,PDNHLCRMUIGNBV-LURJTMIESA-N
alln_324,CCC[C@@H](C)N,-0.82854,IGEIPFLJVCPEKU-RXMQYKEDSA-N
alln_325,CC(C)OC(=O)[C@@H](C)N,-0.8108,QDQVXVRZVCTVHE-RXMQYKEDSA-N
alln_326,CC(C)OC(=O)[C@H](C)N,-0.81081,QDQVXVRZVCTVHE-YFKPBYRVSA-N
alln_327,COC1=NCN=C(OC)[C@H]1CN,-0.82578,not_found
alln_328,NCCc1c[nH]cn1,-0.81805,NTYJJOPFIAHURM-UHFFFAOYSA-N
alln_329,CC(C)COC(=O)[C@H](C)N,-0.8107,SZHJHAOHDNDHMA-LURJTMIESA-N
alln_33,COC(=O)c1ccccc1N,-0.78008,VAMXMNNIEUEQDV-UHFFFAOYSA-N
alln_331,C/C(=C/1\C(=O)COC1=O)/N,-0.72761,not_found
alln_334,N#C[C@@]1(N)CCOC1,-0.79997,DESOQXQPWQVATO-YFKPBYRVSA-N
alln_335,N#C[C@]1(N)CCOC1,-0.79997,DESOQXQPWQVATO-RXMQYKEDSA-N
alln_336,CCOC(=O)C[C@@H](C)N,-0.81922,HHIOOBJZIASBFF-RXMQYKEDSA-N
alln_337,NC(=S)c1ccccn1,-0.74003,HYKQYVSNFPWGKQ-UHFFFAOYSA-N
alln_338,NC(=S)N1CCCC1,-0.80452,DJQOGYTZMZEXJN-UHFFFAOYSA-N
alln_34,CCOC(=O)c1cnc(N)s1,-0.78726,VNZXERIGKZNEKB-UHFFFAOYSA-N
alln_340,NC(=S)NC[C@H]1CCCO1,-0.79595,DYYSJNQVLWANCC-RXMQYKEDSA-N
alln_343,Cc1n[nH]cc1CN,-0.8134,YPBTTWVBPFEPBE-UHFFFAOYSA-N
alln_345,COCCCNC(=S)N,-0.79602,FDWYDCXQLVOMPE-UHFFFAOYSA-N
alln_346,CCOC(=O)C[C@H](C)N,-0.82325,HHIOOBJZIASBFF-YFKPBYRVSA-N
alln_347,CCOC(CN)OCC,-0.81836,HJKLEAOXCZIMPI-UHFFFAOYSA-N
alln_348,COc1ccc(CCN)cc1,-0.82854,LTPVSOCPYWDIFU-UHFFFAOYSA-N
alln_349,NC(=S)NC[C@@H]1CCCO1,-0.79595,DYYSJNQVLWANCC-YFKPBYRVSA-N
alln_35,COc1cc(C)ccc1N,-0.79579,CJJLEUQMMMLOFI-UHFFFAOYSA-N
alln_350,N[C@@H]1NCCC1,-0.82044,IZBNHIWUATWXHK-SCSAIBSYSA-N
alln_351,CC(C)(C)NC(=S)N,-0.79941,RYOCWONLFFPYMN-UHFFFAOYSA-N
alln_352,CCCCNC(=S)N,-0.79863,GMEGXJPUFRVCPX-UHFFFAOYSA-N
alln_353,NC1=NCCSC1,-0.80595,KLCGUDSBFDKXCQ-UHFFFAOYSA-N
