Compound_Name,smiles,Steric,InChIKey
alle_307,Brc1ncccc1I,33.40604,FZBHCYSESMFQJL-UHFFFAOYSA-N
alle_309,CCOC(=O)c1c(Br)sc(C)c1C,34.3046,LBKTXLZVYNVTPR-UHFFFAOYSA-N
alle_31,Clc1ccc(Br)cn1,30.57527,PEAOEIWYQVXZMB-UHFFFAOYSA-N
alle_310,CCOC(=O)c1c(Br)sc2c1CCCC2,34.25251,KRHUTJDRKGFWQD-UHFFFAOYSA-N
alle_312,COC(=O)c1ccc(C)c(Br)c1,33.51999,MASRAGFWFYHMFI-UHFFFAOYSA-N
alle_313,O=N(=O)c1ccc(c2csc(Br)n2)cc1,30.0446,ZKPIOCWAPFGAHW-UHFFFAOYSA-N
alle_314,Cc1ccc(Br)c(F)c1,31.78474,SLFNGVGRINFJLK-UHFFFAOYSA-N
alle_315,Brc1cccc(n2cccn2)c1,30.59969,KUWAIOZTKMAIPI-UHFFFAOYSA-N
alle_316,COC(=O)c1csc(Br)n1,30.03321,YOWKNNKTQWCYNC-UHFFFAOYSA-N
alle_317,Brc1cnc2ccccc2n1,29.92903,XVKLMYQMVPHUPN-UHFFFAOYSA-N
alle_319,O[C@@H](c1ccc(Br)cc1)c1cccs1,30.50527,UFRLLNUJMHVVMO-NSHDSACASA-N
alle_32,Nc1ccc(Br)cn1,30.44179,WGOLHUGPTDEKCF-UHFFFAOYSA-N
alle_320,Brc1ncc(I)s1,30.04786,MWJCQTBRSKINNQ-UHFFFAOYSA-N
alle_321,Fc1ccc(c2csc(Br)n2)cc1,30.01856,GSCFEPBWOIFTNA-UHFFFAOYSA-N
alle_322,Cc1c2ccc(Br)cc2nn1C,30.65829,OAYUNSJKNKZYHT-UHFFFAOYSA-N
